Energy (eV),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
6.199208877,6.01574277422276e-94,3.75983923388922e-94,4.28283208443015e-10,1.99917883705135e-85,4.32381511897261e-94
6.19356696278754,1.08728770589166e-93,6.7955481618229e-94,4.91504798939659e-10,4.23797689301315e-85,7.81488038609634e-94
6.18792504857508,1.963604840291e-93,1.22725302518187e-93,5.63859466812141e-10,8.97121196801392e-85,1.41134097895916e-93
6.18228313436262,3.5433830851955e-93,2.21461442824719e-93,6.46636758709376e-10,1.89639694402599e-84,2.54680659248426e-93
6.17664122015017,6.3890534084385e-93,3.99315838027406e-93,7.41303925975119e-10,4.00306802723617e-84,4.59213213731517e-93
6.17099930593771,1.15109012089526e-92,7.19431325559539e-93,8.49529785236259e-10,8.43805378205996e-84,8.2734602439347e-93
6.16535739172525,2.072223201327e-92,1.29513950082938e-92,9.73211694597911e-10,1.77614003184391e-83,1.48941042595378e-92
6.15971547751279,3.72750413881623e-92,2.32969008676014e-92,1.11450604016559e-09,3.73334144408922e-83,2.67914359977417e-92
6.15407356330033,6.69968114430251e-92,4.18730071518907e-92,1.27586267600105e-09,7.8361693863503e-83,4.81539582246743e-92
6.14843164908788,1.20321858310327e-91,7.52011614439543e-92,1.46006381472507e-09,1.64246269304429e-82,8.64813356605476e-92
6.14278973487542,2.15918236624456e-91,1.34948897890285e-91,1.67026792645629e-09,3.43773825831575e-82,1.55191232573828e-91
6.13714782066296,3.871582480104e-91,2.419739050065e-91,1.91005927133958e-09,7.18514763356191e-82,2.78269990757476e-91
6.1315059064505,6.93652736989545e-91,4.33532960618466e-91,2.18350376636852e-09,1.49963020642872e-81,4.98562904711236e-91
6.12586399223804,1.24179552298229e-90,7.76122201863931e-91,2.49521197142538e-09,3.1254910402506e-81,8.92540532143522e-91
6.12022207802558,2.22132688246455e-90,1.38832930154034e-90,2.85041007342903e-09,6.50485966915158e-81,1.5965786967714e-90
6.11458016381313,3.9703541993624e-90,2.4814713746015e-90,3.25501985227224e-09,1.35189574288132e-80,2.85369208079174e-90
6.10893824960067,7.09088479376815e-90,4.4318029961051e-90,3.71574872904521e-09,2.80565369171648e-80,5.09657344552088e-90
6.10329633538821,1.26539467825055e-89,7.90871673906596e-90,4.24019112719857e-09,5.81447520141276e-80,9.0950242499259e-90
6.09765442117575,2.25634744254753e-89,1.41021715159221e-89,4.83694252225639e-09,1.20329628577668e-79,1.62174972433105e-89
6.09201250696329,4.02013228161403e-89,2.51258267600877e-89,5.51572771705901e-09,2.48668185119602e-79,2.88947007741011e-89
6.08637059275083,7.15696856131684e-89,4.47310535082303e-89,6.28754505907181e-09,5.1316079377908e-79,5.14407115344654e-89
6.08072867853838,1.27312859429328e-88,7.95705371433301e-89,7.16482851599773e-09,1.05748035163578e-78,9.15061177148309e-89
6.07508676432592,2.26292329197037e-88,1.41432705748148e-88,8.16162974794443e-09,2.17608943423617e-78,1.62647611610373e-88
6.06944485011346,4.01903501515081e-88,2.51189688446926e-88,9.29382256108884e-09,4.47163934531829e-78,2.88868141713971e-88
6.063802935901,7.13227605866723e-88,4.45767253666702e-88,1.0579332401785e-08,9.17576732282355e-78,5.12632341716722e-88
6.05816102168854,1.26470401159624e-87,7.90440007247653e-88,1.20383938542486e-08,1.88019810556938e-77,9.09006008334836e-88
