Energy (eV),Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
6.199208877,1.65843076674415e-29,6.57971865930614e-94,1.52267483538037e-59,2.19956879771555e-15,4.29039604309871e-46
6.19356696278754,2.01202672144391e-29,1.18922092831901e-93,2.22393715590677e-59,2.68191383086134e-15,5.98977772079686e-46
6.18792504857508,2.44037907498882e-29,2.14769279406828e-93,3.24650940509366e-59,3.26836765454838e-15,8.35800916485607e-46
6.18228313436262,2.95915688613555e-29,3.87557524943258e-93,4.73685001987744e-59,3.98103322283091e-15,1.16566510062215e-45
6.17664122015017,3.58728465088834e-29,6.9880271654796e-93,6.90782643642619e-59,4.84662607129359e-15,1.62488847908259e-45
6.17099930593771,4.34761259115444e-29,1.25900481972919e-92,1.00686678475108e-58,5.89741976012911e-15,2.26387341181215e-45
6.16535739172525,5.26772368801259e-29,2.26649412645141e-92,1.46683554569931e-58,7.17238149301184e-15,3.15253221042949e-45
6.15971547751279,6.38090509457857e-29,4.07695765183025e-92,2.13584460065301e-58,8.71853541704369e-15,4.38778905478701e-45
6.15407356330033,7.72731709450478e-29,7.32777625158087e-92,3.1083985017052e-58,1.05925983531563e-14,6.10394711983021e-45
6.14843164908788,9.35539939931189e-29,1.3160203252692e-91,4.52150010125408e-58,1.28629413191771e-14,8.48700775128395e-45
6.14278973487542,1.13235625160259e-28,2.36160571307998e-91,6.5736596233223e-58,1.56119404419251e-14,1.17944379327993e-44
6.13714782066296,1.37022214227487e-28,4.23454333761376e-91,9.55236030865054e-58,1.89387930082945e-14,1.63824448249842e-44
6.1315059064505,1.6576240170335e-28,7.58682681082315e-91,1.38737221284527e-57,2.2962888829871e-14,2.27435886966881e-44
6.12586399223804,2.0047869649094e-28,1.35821385326188e-90,2.013975127177e-57,2.78278442055018e-14,3.15586259448627e-44
6.12022207802558,2.42402770568411e-28,2.4295762776956e-90,2.92209295762008e-57,3.37063260494609e-14,4.37679285827515e-44
6.11458016381313,2.93017850992776e-28,4.34257490555263e-90,4.23752981332294e-57,4.08058177837792e-14,6.06698211343965e-44
6.10893824960067,3.54109622663442e-28,7.75565524318392e-90,6.14200718344205e-57,4.93755070477547e-14,8.40559092192334e-44
6.10329633538821,4.27827333989306e-28,1.38402542933654e-89,8.89788293301912e-57,5.97145089500388e-14,1.16397217904957e-43
6.09765442117575,5.16757130710217e-28,2.46788001528636e-89,1.28837375467225e-56,7.21816784123895e-14,1.61100082966841e-43
6.09201250696329,6.24010041138521e-28,4.39701968301534e-89,1.86455786201383e-56,8.72073122252384e-14,2.22857750409837e-43
6.08637059275083,7.53327511523969e-28,7.8279343639403e-89,2.69704799701513e-56,1.0530709703967e-13,3.08133228787534e-43
6.08072867853838,9.0920795800909e-28,1.39248440000828e-88,3.89924298572931e-56,1.27098725166464e-13,4.25822045050545e-43
6.07508676432592,1.09705847947331e-27,2.47507235059259e-88,5.63443973456288e-56,1.53321677508253e-13,5.881614583058e-43
6.06944485011346,1.32337668457361e-27,4.3958195478212e-88,8.13766843482246e-56,1.8486076428573e-13,8.11977130061652e-43
6.063802935901,1.59596855159899e-27,7.80092693916728e-88,1.17470294532114e-55,2.22774121856648e-13,1.12039160593818e-42
6.05816102168854,1.92420939123929e-27,1.38327001268339e-87,1.69486432642925e-55,2.68326490701976e-13,1.54516445760552e-42
6.05251910747609,2.3193563555527e-27,2.45088035658298e-87,2.44410935889001e-55,3.23028748880738e-13,2.12989594834261e-42
6.04687719326363,2.7949225735302e-27,4.33902005135995e-87,3.52277692937908e-55,3.88684850805834e-13,2.93441057564614e-42
6.04123527905117,3.36712494488229e-27,7.67565772498806e-87,5.0749114305114e-55,4.67447527587694e-13,4.04075189416482e-42
6.03559336483871,4.05541994864214e-27,1.3567316010783e-86,7.30719345093515e-55,5.61884347706167e-13,5.56137660205144e-42
6.02995145062625,4.88314459269896e-27,2.39621994291256e-86,1.05160237213581e-54,6.75056021553693e-13,7.65034886157677e-42
6.02430953641379,5.87828292853272e-27,4.22876754922699e-86,1.5126251720515e-54,8.10609167612933e-13,1.05186253875425e-41
6.01866762220133,7.07438248203437e-27,7.45684893608153e-86,2.17465267691228e-54,9.72886150036889e-13,1.4454915296173e-41
6.01302570798888,8.51164962479955e-27,1.31386660511532e-85,3.12483649747219e-54,1.16705505690493e-12,1.98541330570426e-41
6.00738379377642,1.02382584712184e-26,2.31313830523868e-85,4.48790347157343e-54,1.39926342673411e-12,2.72561881958017e-41
6.00174187956396,1.23119145016893e-26,4.06917459133816e-85,6.44226418339731e-54,1.67681996106663e-12,3.73988393721625e-41
5.9960999653515,1.48017219790111e-26,7.15262480868644e-85,9.24298753958368e-54,2.00840919839125e-12,5.12896746479848e-41
